[07/Oct/2014 10:00:17 -0700] DEBUG    127.0.0.1 -anon- - "GET /about/ HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/css/bootplus.css HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/css/font-awesome.min.css HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/css/hue3.css HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/css/fileuploader.css HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/hue.utils.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/jquery-2.1.1.min.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.migration.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.selector.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.filechooser.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.delayedinput.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.notify.js HTTP/1.1"
[07/Oct/2014 10:00:19 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.rowselector.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.titleupdater.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.tablescroller.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.tableextender.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.scrollup.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.cookie.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.tour.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.placeholder.min.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.total-storage.min.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.dataTables.1.8.2.min.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/bootstrap.min.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.datatables.sorting.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/fileuploader.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/popover-extra-placements.js HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/art/hue-logo-mini-white.png HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/art/icon_hue_24.png HTTP/1.1"
[07/Oct/2014 10:00:20 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/fonts/fontawesome-webfont.woff HTTP/1.1"
[07/Oct/2014 10:00:21 -0700] DEBUG    127.0.0.1 -anon- - "GET /favicon.ico HTTP/1.1"
[07/Oct/2014 10:00:22 -0700] DEBUG    127.0.0.1 -anon- - "GET /accounts/login/ HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/css/bootplus.css HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/css/font-awesome.min.css HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/css/hue3.css HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/css/fileuploader.css HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/hue.utils.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/jquery-2.1.1.min.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.filechooser.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.migration.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.delayedinput.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.notify.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.selector.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.rowselector.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.titleupdater.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.tablescroller.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.scrollup.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.total-storage.min.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.tableextender.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.cookie.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.tour.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.placeholder.min.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/jquery/plugins/jquery.dataTables.1.8.2.min.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/jquery.datatables.sorting.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/bootstrap.min.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/js/fileuploader.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/js/popover-extra-placements.js HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/chosen/chosen.min.css HTTP/1.1"
[07/Oct/2014 10:00:23 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/ext/chosen/chosen.jquery.min.js HTTP/1.1"
[07/Oct/2014 10:00:24 -0700] DEBUG    127.0.0.1 -anon- - "GET /static/art/hue-login-logo-ellie.png HTTP/1.1"
[07/Oct/2014 10:00:31 -0700] DEBUG    127.0.0.1 -anon- - "POST /accounts/login/ HTTP/1.1"
[07/Oct/2014 10:00:31 -0700] WARNING  127.0.0.1 bigdata - "POST /accounts/login/ HTTP/1.1" -- "bigdata" login ok
[07/Oct/2014 10:00:31 -0700] INFO     127.0.0.1 bigdata - "GET / HTTP/1.1"
[07/Oct/2014 10:00:31 -0700] DEBUG    127.0.0.1 bigdata - "GET /about/ HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/css/bootplus.css HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/css/hue3.css HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/css/font-awesome.min.css HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/css/fileuploader.css HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/hue.utils.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/jquery-2.1.1.min.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.migration.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.filechooser.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.delayedinput.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.selector.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.rowselector.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.titleupdater.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tablescroller.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.notify.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tableextender.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.scrollup.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tour.js HTTP/1.1"
[07/Oct/2014 10:00:33 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.cookie.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.total-storage.min.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.placeholder.min.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.dataTables.1.8.2.min.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.datatables.sorting.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/fileuploader.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/bootstrap.min.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/popover-extra-placements.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/routie-0.3.0.min.js HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /beeswax/static/art/icon_beeswax_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /pig/static/art/icon_pig_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /impala/static/art/icon_impala_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /rdbms/static/art/icon_rdbms_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /jobsub/static/art/icon_jobsub_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /metastore/static/art/icon_metastore_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /spark/static/art/icon_spark_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /hbase/static/art/icon_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /oozie/static/art/icon_oozie_dashboard_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /zookeeper/static/art/icon_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /sqoop/static/art/icon_sqoop_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /useradmin/static/art/icon_useradmin_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] DEBUG    127.0.0.1 bigdata - "GET /oozie/static/art/icon_oozie_editor_24.png HTTP/1.1"
[07/Oct/2014 10:00:34 -0700] INFO     127.0.0.1 bigdata - "GET /desktop/debug/check_config HTTP/1.1"
[07/Oct/2014 10:00:35 -0700] INFO     127.0.0.1 bigdata - "GET /jobbrowser/ HTTP/1.1"
[07/Oct/2014 10:01:06 -0700] INFO     127.0.0.1 bigdata - "GET /jobbrowser/ HTTP/1.1"
[07/Oct/2014 10:01:08 -0700] WARNING  127.0.0.1 bigdata - "GET /logs HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/css/bootplus.css HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/css/font-awesome.min.css HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/css/hue3.css HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/css/fileuploader.css HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/jquery-2.1.1.min.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/hue.utils.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.filechooser.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.migration.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.selector.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.notify.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.delayedinput.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.rowselector.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tablescroller.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tableextender.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.titleupdater.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.scrollup.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tour.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.cookie.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.total-storage.min.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.placeholder.min.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.dataTables.1.8.2.min.js HTTP/1.1"
[07/Oct/2014 10:01:09 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/bootstrap.min.js HTTP/1.1"
