Country;Localite;Category;Value;Date;Sources;Link
Sierra Leone;Kailahun;Deaths;5;25/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-662629_0.pdf
Sierra Leone;Kailahun;Deaths;5;26/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663393_2.pdf
Sierra Leone;National;Deaths;5;27/05/2014;Gvt;https://wca.humanitarianresponse.info/fr/system/files/documents/files/Sierra%20Leone%20Ebola%20sitrep%2028%20May%202014.pdf
Sierra Leone;Bo;Deaths;0;29/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663958_2.pdf
Sierra Leone;Kailahun;Deaths;6;29/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663958_2.pdf
Sierra Leone;Kenema;Deaths;0;29/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663958_2.pdf
Sierra Leone;Koinadugu;Deaths;0;29/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663958_2.pdf
Sierra Leone;Moyamba;Deaths;0;29/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663958_2.pdf
Sierra Leone;National;Deaths;6;29/05/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-663958_2.pdf
Sierra Leone;Bo;Deaths;0;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;Bombali;Deaths;0;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;Freetown;Deaths;0;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;Kailahun;Deaths;6;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;Kenema;Deaths;0;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
Sierra Leone;Koinadugu;Deaths;0;01/06/2014;WHO;https://wca.humanitarianresponse.info/fr/system/files/documents/files/node-664928_3.pdf
